            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461112.631944444, A.D. 2026-Mar-13 03:10:00.0000, -1.476024519693329E+08,  1.744302409886879E+07,  7.548563686903868E+06, -3.582654925663207E+00, -2.699758655424429E+01, -1.164815022444933E+01,
2461112.638888889, A.D. 2026-Mar-13 03:20:00.0000, -1.476046005762178E+08,  1.742682580259526E+07,  7.541574945641995E+06, -3.579368375709135E+00, -2.699673432488801E+01, -1.164765398510350E+01,
2461112.645833333, A.D. 2026-Mar-13 03:30:00.0000, -1.476067472118056E+08,  1.741062801771782E+07,  7.534586502117626E+06, -3.576083935434414E+00, -2.699588190104956E+01, -1.164715776634156E+01,
2461112.652777778, A.D. 2026-Mar-13 03:40:00.0000, -1.476088918773623E+08,  1.739443074435239E+07,  7.527598356317994E+06, -3.572801605095128E+00, -2.699502928527114E+01, -1.164666156954273E+01,
2461112.659722222, A.D. 2026-Mar-13 03:50:00.0000, -1.476110345741538E+08,  1.737823398261337E+07,  7.520610508229506E+06, -3.569521384944840E+00, -2.699417648009684E+01, -1.164616539608713E+01,
2461112.666666667, A.D. 2026-Mar-13 04:00:00.0000, -1.476131753034463E+08,  1.736203773261365E+07,  7.513622957837745E+06, -3.566243275234579E+00, -2.699332348807267E+01, -1.164566924735581E+01,
2461112.673611111, A.D. 2026-Mar-13 04:10:00.0000, -1.476153140665062E+08,  1.734584199446455E+07,  7.506635705127458E+06, -3.562967276212831E+00, -2.699247031174654E+01, -1.164517312473076E+01,
2461112.680555556, A.D. 2026-Mar-13 04:20:00.0000, -1.476174508646000E+08,  1.732964676827590E+07,  7.499648750082569E+06, -3.559693388125536E+00, -2.699161695366825E+01, -1.164467702959490E+01,
2461112.687500000, A.D. 2026-Mar-13 04:30:00.0000, -1.476195856989942E+08,  1.731345205415599E+07,  7.492662092686169E+06, -3.556421611216074E+00, -2.699076341638956E+01, -1.164418096333204E+01,
2461112.694444444, A.D. 2026-Mar-13 04:40:00.0000, -1.476217185709557E+08,  1.729725785221156E+07,  7.485675732920520E+06, -3.553151945725264E+00, -2.698990970246412E+01, -1.164368492732697E+01,
2461112.701388889, A.D. 2026-Mar-13 04:50:00.0000, -1.476238494817514E+08,  1.728106416254785E+07,  7.478689670767048E+06, -3.549884391891343E+00, -2.698905581444750E+01, -1.164318892296539E+01,
2461112.708333333, A.D. 2026-Mar-13 05:00:00.0000, -1.476259784326484E+08,  1.726487098526853E+07,  7.471703906206354E+06, -3.546618949949974E+00, -2.698820175489719E+01, -1.164269295163393E+01,
2461112.715277778, A.D. 2026-Mar-13 05:10:00.0000, -1.476281054249138E+08,  1.724867832047576E+07,  7.464718439218204E+06, -3.543355620134225E+00, -2.698734752637261E+01, -1.164219701472015E+01,
2461112.722222222, A.D. 2026-Mar-13 05:20:00.0000, -1.476302304598150E+08,  1.723248616827016E+07,  7.457733269781530E+06, -3.540094402674566E+00, -2.698649313143512E+01, -1.164170111361256E+01,
2461112.729166667, A.D. 2026-Mar-13 05:30:00.0000, -1.476323535386195E+08,  1.721629452875081E+07,  7.450748397874430E+06, -3.536835297798858E+00, -2.698563857264799E+01, -1.164120524970060E+01,
2461112.736111111, A.D. 2026-Mar-13 05:40:00.0000, -1.476344746625949E+08,  1.720010340201525E+07,  7.443763823474172E+06, -3.533578305732350E+00, -2.698478385257645E+01, -1.164070942437465E+01,
2461112.743055556, A.D. 2026-Mar-13 05:50:00.0000, -1.476365938330090E+08,  1.718391278815946E+07,  7.436779546557184E+06, -3.530323426697663E+00, -2.698392897378762E+01, -1.164021363902601E+01,
2461112.750000000, A.D. 2026-Mar-13 06:00:00.0000, -1.476387110511296E+08,  1.716772268727793E+07,  7.429795567099066E+06, -3.527070660914785E+00, -2.698307393885061E+01, -1.163971789504694E+01,
2461112.756944444, A.D. 2026-Mar-13 06:10:00.0000, -1.476408263182248E+08,  1.715153309946356E+07,  7.422811885074576E+06, -3.523820008601066E+00, -2.698221875033643E+01, -1.163922219383063E+01,
2461112.763888889, A.D. 2026-Mar-13 06:20:00.0000, -1.476429396355627E+08,  1.713534402480773E+07,  7.415828500457639E+06, -3.520571469971202E+00, -2.698136341081806E+01, -1.163872653677121E+01,
2461112.770833333, A.D. 2026-Mar-13 06:30:00.0000, -1.476450510044115E+08,  1.711915546340026E+07,  7.408845413221341E+06, -3.517325045237236E+00, -2.698050792287042E+01, -1.163823092526377E+01,
2461112.777777778, A.D. 2026-Mar-13 06:40:00.0000, -1.476471604260398E+08,  1.710296741532945E+07,  7.401862623337932E+06, -3.514080734608536E+00, -2.697965228907037E+01, -1.163773536070432E+01,
2461112.784722222, A.D. 2026-Mar-13 06:50:00.0000, -1.476492679017159E+08,  1.708677988068203E+07,  7.394880130778827E+06, -3.510838538291798E+00, -2.697879651199671E+01, -1.163723984448983E+01,
